artist,album,catalogueNo,played,location,needNewCase,sleeveRating,sleeveNotes,mediaRating,mediaNotes,purchasedByMe,purchaseDate
DON WILLIAMS,PORTRAIT,,,,,,,,,,
DONNA SUMMER,ON THE RADIO - GREATEST HITS,NBLP-2-7191,TRUE,,,,,,,,
DONOVAN,DONOVAN IN CONCERT,,,,,,,,,,
"DOOBIE BROTHERS, THE",TOULOUSE STREET,BS 2634,TRUE,shelf,,,,,"needs cleaning! very crackly, skips a bit",,
"DOOBIE BROTHERS, THE",THE CAPTAIN AND ME,,TRUE,shelf,FALSE,VG+,"minor splitting on bottom, good inner sleeve","light noise, could use a cleaning, no skipping on first side",,,
"DOOBIE BROTHERS, THE",WHAT WERE ONCE VICES ARE NOW HABITS,,,,,,,,,,
"DOORS, THE",L.A. WOMAN,,TRUE,shelf,,,,,"slight warp, seems to affect play",,
"DOORS, THE",STRANGE DAYS,,TRUE,shelf,,,,,needs cleaning! very noisy,,
"DOORS, THE",MORRISON HOTEL,,TRUE,shelf,,,,,,,
"DOORS, THE",13,,,,,,,,,,
"DOORS, THE",THE SOFT PARADE,,,,,,,,,,
DOUBLE GAGE,REMUDA,,,,,,,,,,
DOUG KERSHAW,ALIVE & PICKIN',,,,,,,,,,
DR. HOOK,A LITTLE BIT MORE,,TRUE,,,,,,,,
DR. HOOK AND THE MEDICINE SHOW,BELLY UP!,,TRUE,,,,,,,,
DUANE ALLMAN,AN ANTHOLOGY,2CP 0108,TRUE,shelf,,VG,"splitting on back cover top, has all sleeves, light ring wear, writing inside fold",,"Warped, I think -- SIDE 1 - first track skips badly, SIDE 2 - first few tracks skip",,
DUANE ALLMAN,AN ANTHOLOGY,2CP 0108,,shelf,,,,,,,
"EAGLES, THE",THE LONG RUN,,,TUB,,,,,,,
"EAGLES, THE",THEIR GREATEST HITS,,,,,,,,,,
"EAGLES, THE",THE LONG RUN,,,,,,,,,,
"EAGLES, THE",THE GREATEST HITS,,,,,,,,,,
EARTH WIND AND FIRE,RAISE!,TC 37548,TRUE,,,,,,,,
EARTH WIND AND FIRE,ALL N' ALL,,TRUE,,,,,,,,
EDDIE COCHRAN,THE 25TH ANNIVERSARY ALBUM,,,,,,,,,,
EDDIE MONEY,NO CONTROL,FC 37960,TRUE,,,VG+,,VG,,,
EDDIE MONEY,NO CONTROL,FC 37960,,,,VG+,,,,,
EDDIE RABBITT,VARIATIONS,,,TUB,,,,,,,
EDDIE RABBITT,STEP BY STEP,,,,,,,,,,
EDDIE RABBITT,STEP BY STEP,,,,,,,,,,
EDDIE RABBITT,RABBITT,,,,,,,,,,
EDDIE RABBITT,LOVELINE,,,,,,,,,,
EDDY ARNOLD,THE BEST OF EDDY ARNOLD,,,TUB,,,,,,,
EDDY ARNOLD,MY WORLD,,,TUB,,,,,,,
EDDY ARNOLD,EDDY ARNOLD,,,TUB,,,,,,,
EDGAR WINTER'S WHITE TRASH,ROADWORK,,,,,,,,,,
EDGAR WINTER'S WHITE TRASH,ROADWORK,,,,,,,,,,
"ELECTRIC FLAG, THE",A LONG TIME COMING,,,,,,,,,,
"ELECTRIC FLAG, THE",A LONG TIME COMING,,,,,,,,,,
ELTON JOHN,MADMAN ACROSS THE WATER,,,,,,,,,,
ELTON JOHN,HONKY CHATEAU,,,,,,,,,,
ELTON JOHN,CARIBOU,,,,,,,,,,
ELVIN BISHOP,JUKE JOINT JUMP,,,,,,,,,,
ELVIS,DOUBLE DYNAMICS,,,,,,,,,,
ELVIS PRESLEY,WORLDWIDE GOLD AWARD HITS PARTS 1 & 2,,,TUB,,,,,,,
EMERSON LAKE & PALMER,WORKS,,,,,,,,,,
ENGELBERT HUMPERDINCK,ANOTHER TIME ANOTHER PLACE,,,,,,,,,,
ENGELBERT HUMPERDINCK,RELEASE ME,,,,,,,,,,
ENGELBERT HUMPERDINCK,THE LAST WALTZ,,,,,,,,,,
ENGELBERT HUMPERDINCK,SWEETHEART,,,,,,,,,,
ERIC CLAPTON,E.C. WAS HERE,,,,,,,,,,
EUMIR DEODATO,DEODATO 2,,,,,,,,,,
"EVERLY BROTHERS, THE",THE VERY BEST OF THE EVERLY BROTHERS,,,,,,,,,,
"FABULOUS THUNDERBIRDS, THE",HOT NUMBER,,,TUB,,,,,,,
"FABULOUS THUNDERBIRDS, THE",T-BIRD RHYTHM,,,TUB,,,,,,,
"FABULOUS THUNDERBIRDS, THE",T-BIRD RHYTHM,,,,,,,,,,
"FABULOUS THUNDERBIRDS, THE",HOT NUMBER,,,,,,,,,,
FACES,A NOD'S AS GOOD AS A WINK... TO A BLIND HORSE,,,,,,NO COVER,,,,
FACES,LONG PLAYER,,,shelf,,GENERIC,"replaced inner sleeve only, no jacket",,,,
FACES,OOH LALA,,,,,,,,,,
FARON YOUNG,FARON YOUNG,,,,,,,,,,
FAT MATTRESS,FAT MATTRESS,,,,,,,,,,
FIREFALL,FIREFALL,SD 18174,TRUE,shelf,TRUE,N/A,replaced inner sleeve only,G,"had no jacket or sleeve for some time, lots of light scratches, needs cleaning but plays pretty well. some skipping on side 2",,
FIREFALL,UNDERTOW,,,,,,,,,,
FIREFALL,LUNA SEA,,,,,,,,,,
FLEETWOOD MAC,RUMOURS,BSK 3010,TRUE,,,,,,,,
FLEETWOOD MAC,TUSK,,TRUE,,,,,,,,
FLEETWOOD MAC,BARE TREES,,,,,,,,,,
FLEETWOOD MAC,KILN HOUSE,,,,,,,,,,
FLEETWOOD MAC,ENGLISH ROSE,,,,,GENERIC,"replaced jacket, original sleeve",,,,
FLEETWOOD MAC,FUTURE GAMES,,,,,,,,,,
FLEETWOOD MAC,VINTAGE YEARS,,,,,GENERIC,replaced jacket and sleeve,,,,
FLEETWOOD MAC,VINTAGE YEARS,,,,,,,,,,
FLEETWOOD MAC,MYSTERY TO ME,,,,,,,,,,
FOGHAT,NIGHT SHIFT,,,,,,,,,,
FOGHAT,FOOL FOR THE CITY,,,,,,,,,,
FOGHAT,ENERGIZED,,,,,,,,,,
FOREIGNER,4,,TRUE,,,,,,,,
FOREIGNER,FOREIGNER,,,,,,,,,,
FRAMPTON,CAMEL,,,,,,,,,,
FRANK SINATRA,GREATEST HITS,,,,,,,,,,
FRANK ZAPPA,ZAPPA IN NEW YORK,,,,,,,,,,
"FRATERNITY OF MAN, THE",THE FRATERNITY OF MAN,ABCS-647,,TUB,VG+,,,,,,
FREDDIE FENDER,FREDDIE FENDER,,,,,,,,,,
FREDDIE HART,BLESS YOUR HEART,,,,,,,,,,
FREDDIE HART,CALIFORNIA GRAPEVINE,,,,,,,,,,
FREDDIE HART,MY HANG-UP IS YOU,,,,,,,,,,
FREDDY WELLER,GO FOR THE NIGHT,,,,,,,,,,
FREE,FREE LIVE,,,,,,,,,,
GARY PUCKETT AND THE UNION GAP,INCREDIBLE,CS 9715,,shelf,,,,,,,
GARY PUCKETT AND THE UNION GAP,INCREDIBLE,CS 9715,TRUE,shelf,,VG+,"great shape, still has inner sleeve",VG+,"doesn't skip, pretty quiet, ""side 1"" printed on both sides of record",,
GARY STEWART,OUT OF HAND,,,,,,,,,,
GENE WATSON,THE BEST OF GENE WATSON,,,TUB,,,,,,,
GENE WATSON,OLD LOVE NEVER DIES,,,TUB,,,,,,,
GENE WATSON WITH THE FAREWELL PARTY BAND,SOMETIMES I GET LUCKY,,,TUB,,,,,,,
GEORGE BENSON,IN FLIGHT,,,,,,,,,,
GEORGE JONES & MELBA MONTGOMERY,CLOSE TOGETHER (AS YOU AND ME),,,,,,,,,,
GERRY AND THE PACEMAKERS,GREATEST HITS,,,,,,,,,,
GINO VANNELLI,NIGHTWALKER,,,,,,,,,,
GINO VANNELLI,POWERFUL PEOPLE,,,,,,,,,,
GLEN CAMPBELL,WICHITA LINEMAN,,,,,,,,,,
GLENN MILLER,THE BEST OF,,,,,,,,,,
GRAND FUNK RAILROAD,"MARK, DON & MEL",SABB-11042,,shelf,,VG+,"shiny, very little ring wear, spine/seams in great shape",G,missing second album,,
GRAND FUNK RAILROAD,SURVIVAL,,,,,VG+,"no ring wear, very good condition",,,,
GRAND FUNK RAILROAD,GRAND FUNK HITS,,,,,,,,,,
GRAND FUNK RAILROAD,GRAND FUNK,,,,,,,,,,
"GRASS ROOTS, THE",GOLDEN GRASS - THEIR GREATEST HITS,,,,,,,,,,
"GRATEFUL DEAD, THE",SKELETONS FROM THE CLOSET,,,,,,,,,,
"GRATEFUL DEAD, THE",THE GRATEFUL DEAD,,,,,,,,,,
"GRATEFUL DEAD, THE",BLUES FOR ALLAH,,,,,,,,,,
